Program_studi,Application_mode,Course,Daytime_evening_attendance,Previous_qualification_grade,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Probabilitas_dropout,Level_risiko
Management,17,9147,1,139.0,133.4,0,0,1,0,0,18,5,9,1,11.0,5,10,0,0.0,0.9883,Tinggi
Agronomy,39,9003,1,170.0,170.0,0,1,1,0,0,47,1,1,0,0.0,6,0,0,0.0,0.9883,Tinggi
Informatics Engineering,51,9119,1,129.0,121.6,1,0,1,1,0,19,5,10,0,0.0,5,7,1,10.0,0.9869,Tinggi
Nursing,1,9500,1,136.0,127.0,1,0,1,0,0,19,8,10,1,13.67,8,10,1,13.67,0.9848,Tinggi
Informatics Engineering,39,9119,1,133.1,100.0,0,0,1,1,0,25,5,13,1,11.0,5,11,1,10.0,0.9847,Tinggi
Informatics Engineering,1,9119,1,135.0,123.5,1,0,1,1,0,18,5,10,0,0.0,5,10,1,10.0,0.9834,Tinggi
Biofuel Production Technologies,43,33,1,143.0,121.2,1,0,1,1,0,25,10,13,5,11.6,8,10,2,13.0,0.9816,Tinggi
Informatics Engineering,39,9119,1,110.0,125.9,0,0,1,1,0,34,5,7,0,0.0,5,8,1,11.0,0.9814,Tinggi
Social Service,1,9238,1,133.0,126.0,0,0,1,0,0,20,6,11,1,12.0,5,10,0,0.0,0.9813,Tinggi
Oral Hygiene,15,9556,1,114.0,114.0,0,0,1,0,0,20,7,14,0,0.0,7,12,2,11.666666666666666,0.9811,Tinggi
Advertising and Marketing Management,17,9670,1,115.0,109.1,0,1,0,1,0,21,6,11,4,12.25,6,9,4,13.4,0.9802,Tinggi
Informatics Engineering,39,9119,1,120.0,116.0,0,1,1,1,1,34,5,14,1,17.0,5,10,2,11.0,0.9799,Tinggi
Communication Design,1,9070,1,121.0,120.7,1,0,1,0,0,18,6,8,4,10.75,6,9,0,0.0,0.9787,Tinggi
Veterinary Nursing,39,9085,1,140.0,154.6,0,0,0,0,1,44,6,12,4,12.75,6,15,2,10.0,0.9737,Tinggi
Social Service,39,9238,1,160.0,124.0,0,1,1,1,0,28,8,15,7,11.0,6,17,1,10.0,0.9736,Tinggi
Social Service (evening),39,8014,0,155.0,117.5,0,0,1,0,0,34,6,6,4,13.25,6,6,0,0.0,0.9736,Tinggi
Basic Education,17,9853,1,127.0,121.8,1,1,1,0,0,18,6,12,4,13.5,6,14,3,10.666666666666666,0.9725,Tinggi
Social Service,51,9238,1,122.0,112.6,0,1,1,0,0,20,11,18,8,12.625,10,10,3,11.0,0.9722,Tinggi
Informatics Engineering,44,9119,1,150.0,150.0,0,0,1,1,0,20,5,16,0,0.0,5,12,2,10.5,0.9704,Tinggi
Animation and Multimedia Design,1,171,1,130.0,118.1,0,1,0,1,0,18,0,0,0,0.0,0,0,0,0.0,0.9699,Tinggi
Informatics Engineering,44,9119,1,140.0,140.0,0,0,1,1,0,23,7,12,3,14.0,6,12,1,14.0,0.9697,Tinggi
Informatics Engineering,15,9119,1,160.0,160.0,0,1,1,0,0,19,6,11,2,13.5,5,11,2,11.0,0.9672,Tinggi
Advertising and Marketing Management,17,9670,1,138.0,123.0,0,1,0,1,0,20,6,7,5,12.4,6,8,4,13.0,0.964,Tinggi
Informatics Engineering,17,9119,1,122.0,121.0,1,0,1,1,0,20,5,10,4,14.25,5,14,1,10.0,0.962,Tinggi
Journalism and Communication,1,9773,1,129.0,117.1,1,0,1,0,0,20,6,12,1,17.0,6,12,1,17.0,0.9611,Tinggi
Social Service,43,9238,1,143.0,126.6,0,1,0,0,0,21,10,18,8,11.5,6,12,4,10.0,0.9599,Tinggi
Animation and Multimedia Design,17,171,1,146.0,135.5,1,1,1,0,0,22,17,19,12,11.833333333333334,17,22,11,11.25,0.9569,Tinggi
Informatics Engineering,44,9119,1,140.0,140.0,1,0,1,1,0,22,5,9,0,0.0,5,6,2,11.666666666666666,0.9557,Tinggi
Informatics Engineering,1,9119,1,142.0,129.8,1,0,1,1,0,18,5,5,0,0.0,5,6,1,15.0,0.9547,Tinggi
Veterinary Nursing,44,9085,1,130.0,130.0,0,0,0,1,0,20,6,10,5,13.2,6,21,3,12.0,0.9545,Tinggi
Tourism,44,9254,1,130.0,130.0,1,1,1,1,0,23,6,12,3,11.5,6,12,3,10.666666666666666,0.9536,Tinggi
Animation and Multimedia Design,1,171,1,131.0,127.2,1,1,1,1,0,23,17,19,13,12.153846153846152,17,28,11,11.909090909090908,0.9513,Tinggi
Advertising and Marketing Management,1,9670,1,136.0,129.7,1,0,1,1,0,19,6,10,4,12.5,6,12,1,10.0,0.9495,Tinggi
Social Service,17,9238,1,133.0,136.2,1,0,1,0,0,19,6,14,1,11.5,6,12,2,10.5,0.9477,Tinggi
Informatics Engineering,18,9119,1,134.0,124.9,1,1,1,1,0,18,5,11,3,10.666666666666666,5,9,3,11.333333333333334,0.9476,Tinggi
Management,1,9147,1,126.0,115.2,0,1,1,0,0,19,5,13,1,10.0,5,8,2,10.0,0.947,Tinggi
Basic Education,17,9853,1,146.0,128.2,0,1,1,0,0,18,6,8,4,13.25,6,10,3,10.666666666666666,0.9452,Tinggi
Management,1,9147,1,143.0,138.8,0,0,0,1,0,18,5,9,3,11.333333333333334,5,8,2,13.5,0.9442,Tinggi
Management,17,9147,1,120.0,115.5,1,1,0,1,0,19,5,8,4,12.5,5,9,5,10.5,0.944,Tinggi
Journalism and Communication,43,9773,1,127.0,117.6,1,0,1,0,0,18,6,6,0,0.0,6,10,3,11.0,0.9433,Tinggi
Management,17,9147,1,122.0,116.1,1,1,1,1,0,19,5,10,4,11.0,5,13,2,12.0,0.9432,Tinggi
Oral Hygiene,51,9556,1,131.0,126.6,1,0,1,1,0,23,7,11,5,12.414285714285713,7,13,2,13.5,0.942,Tinggi
Veterinary Nursing,43,9085,1,130.0,130.0,1,0,0,0,0,19,6,12,5,13.0,6,12,3,11.666666666666666,0.9416,Tinggi
Agronomy,39,9003,1,130.0,120.0,1,0,1,1,0,28,13,19,8,11.625,10,17,6,11.0,0.9412,Tinggi
Animation and Multimedia Design,1,171,1,123.0,118.8,0,0,1,1,0,19,10,10,5,11.0,7,8,2,10.0,0.9406,Tinggi
Basic Education,1,9853,1,133.1,95.0,1,1,0,0,0,22,7,10,6,11.5,7,8,6,13.166666666666666,0.9405,Tinggi
Equinculture,43,9130,1,127.0,120.7,1,1,1,0,0,18,5,11,1,12.0,5,9,3,12.0,0.9402,Tinggi
Journalism and Communication,43,9773,1,128.0,124.2,1,0,1,1,0,22,6,17,3,11.333333333333334,6,14,3,12.333333333333334,0.9401,Tinggi
Equinculture,17,9130,1,143.0,131.8,1,1,0,0,0,18,6,9,5,12.4,6,12,5,14.166666666666666,0.9381,Tinggi
Informatics Engineering,39,9119,1,133.1,100.9,1,0,1,1,0,24,5,9,1,12.0,5,6,3,10.5,0.9358,Tinggi
Management,1,9147,1,133.1,106.0,1,0,1,0,0,24,5,11,2,10.5,5,14,1,11.0,0.9341,Tinggi
Veterinary Nursing,53,9085,1,130.0,130.0,1,1,0,0,0,24,9,9,8,13.125,9,13,6,13.0,0.9319,Tinggi
Oral Hygiene,43,9556,1,126.0,100.0,0,0,1,0,0,25,7,10,3,13.0,8,10,3,11.666666666666666,0.931,Tinggi
Journalism and Communication,43,9773,1,121.0,121.0,1,0,1,1,0,23,6,15,1,13.0,6,8,4,11.25,0.9304,Tinggi
Social Service,1,9238,1,135.0,121.0,0,0,1,0,0,20,6,13,1,10.0,6,13,1,13.0,0.9303,Tinggi
Social Service,18,9238,1,137.0,137.4,1,0,1,0,0,18,6,10,1,12.0,6,14,2,11.0,0.93,Tinggi
Veterinary Nursing,44,9085,1,140.0,140.0,1,0,1,0,0,21,6,11,4,12.75,6,19,1,11.0,0.9297,Tinggi
Communication Design,43,9070,1,100.0,108.0,1,0,1,1,0,34,12,12,7,11.428571428571429,12,12,7,11.857142857142858,0.9271,Tinggi
Veterinary Nursing,53,9085,1,140.0,143.3,1,0,0,0,0,23,12,19,9,13.666666666666666,9,15,6,13.5,0.9256,Tinggi
Journalism and Communication,43,9773,1,119.0,105.0,1,0,1,0,0,23,6,11,3,11.333333333333334,6,7,2,11.0,0.9256,Tinggi
Management (evening),53,9991,0,140.0,135.0,0,1,1,0,0,23,11,18,8,12.375,9,15,5,12.6,0.9252,Tinggi
Management,17,9147,1,118.0,113.5,1,1,1,0,0,20,5,10,2,11.5,5,8,3,10.0,0.9238,Tinggi
Management,43,9147,1,131.0,123.7,1,0,1,0,0,18,5,10,1,14.0,5,10,1,14.0,0.9229,Tinggi
Agronomy,44,9003,1,130.0,130.0,0,0,1,1,0,20,7,13,3,10.666666666666666,6,14,2,11.5,0.9226,Tinggi
Basic Education,39,9853,1,133.1,108.0,0,1,0,0,0,33,7,7,7,12.857142857142858,7,8,6,12.666666666666666,0.9212,Tinggi
Communication Design,17,9070,1,127.0,130.2,1,0,1,1,0,19,6,6,5,11.4,6,8,1,10.0,0.9172,Tinggi
Management,17,9147,1,115.0,115.0,1,0,1,0,0,23,5,7,2,10.0,5,9,1,12.0,0.9163,Tinggi
Equinculture,1,9130,1,143.0,141.3,0,1,0,0,0,23,6,10,6,14.0,6,11,4,13.0,0.9154,Tinggi
Informatics Engineering,1,9119,1,160.0,153.7,0,0,1,1,0,19,5,7,1,13.0,5,7,2,10.0,0.915,Tinggi
Equinculture,1,9130,1,138.0,123.0,1,0,1,0,0,21,5,12,1,11.0,5,9,2,10.5,0.9107,Tinggi
Social Service (evening),1,8014,0,120.0,122.8,0,0,1,0,0,23,6,13,2,10.0,5,12,1,10.0,0.9023,Tinggi
Nursing,39,9500,1,133.1,115.2,0,0,1,0,0,48,7,11,4,11.75,7,14,3,11.725,0.9017,Tinggi
Agronomy,39,9003,1,133.1,100.7,0,0,1,0,0,39,6,15,2,13.0,6,13,3,13.0,0.9013,Tinggi
Basic Education,18,9853,1,110.0,110.0,1,0,1,0,0,20,6,10,4,12.75,6,14,3,11.333333333333334,0.9006,Tinggi
Informatics Engineering,39,9119,1,150.0,120.0,0,0,1,1,0,24,5,6,3,10.666666666666666,5,9,2,10.5,0.8997,Tinggi
Journalism and Communication,17,9773,1,124.0,127.9,1,0,1,1,0,20,6,11,3,13.666666666666666,6,13,4,10.25,0.8915,Tinggi
Veterinary Nursing,43,9085,1,160.0,120.0,0,0,1,1,0,21,5,11,0,0.0,5,11,3,11.666666666666666,0.8905,Tinggi
Equinculture,43,9130,1,130.0,130.0,1,0,1,1,0,33,5,12,1,13.0,5,7,3,14.0,0.8879,Tinggi
Basic Education,17,9853,1,133.1,107.0,1,0,1,0,0,20,7,12,6,11.666666666666666,7,10,3,13.0,0.8878,Tinggi
Management (evening),39,9991,0,133.1,121.5,0,0,1,1,0,38,5,11,2,10.5,5,9,3,11.333333333333334,0.8877,Tinggi
Social Service,44,9238,1,140.0,136.1,1,1,1,0,0,21,6,8,3,12.0,6,6,2,12.5,0.8868,Tinggi
Management,1,9147,1,166.0,146.4,0,0,1,1,0,27,5,12,3,10.0,5,12,1,13.0,0.8848,Tinggi
Equinculture,44,9130,1,150.0,150.0,1,0,1,1,0,19,6,13,5,11.6,6,12,2,11.0,0.8802,Tinggi
Communication Design,17,9070,1,142.0,141.0,1,0,1,1,0,18,6,6,6,13.0,6,8,1,10.0,0.8801,Tinggi
Tourism,17,9254,1,136.0,121.7,1,0,1,0,0,20,6,13,3,10.333333333333334,6,12,3,10.333333333333334,0.8789,Tinggi
Informatics Engineering,1,9119,1,149.0,141.0,0,0,1,1,0,18,5,9,2,11.666666666666666,5,9,2,12.5,0.8742,Tinggi
Management,17,9147,1,116.0,115.7,0,0,0,1,0,22,5,10,4,11.5,5,11,4,14.0,0.8712,Tinggi
Informatics Engineering,44,9119,1,130.0,130.0,0,0,1,1,0,20,5,12,1,13.0,5,8,3,12.6,0.8668,Tinggi
Informatics Engineering,44,9119,1,130.0,130.0,1,0,1,1,0,19,5,9,2,12.5,5,10,3,11.6,0.8662,Tinggi
Veterinary Nursing,18,9085,1,106.0,104.6,0,0,0,1,0,21,6,10,5,14.0,6,11,4,14.8,0.8657,Tinggi
Informatics Engineering,17,9119,1,131.0,123.7,1,0,1,1,0,20,5,7,4,12.0,5,8,2,12.5,0.8656,Tinggi
Management,17,9147,1,133.0,123.2,1,0,1,1,0,20,5,7,3,12.666666666666666,5,12,2,12.5,0.8653,Tinggi
Veterinary Nursing,17,9085,1,125.0,118.4,1,0,1,0,0,21,5,13,3,11.333333333333334,5,12,2,10.5,0.8644,Tinggi
Basic Education,5,9853,1,119.0,118.3,1,0,1,0,0,22,6,11,3,15.0,6,11,4,10.25,0.8635,Tinggi
Informatics Engineering,7,9119,1,180.0,180.0,0,1,1,1,0,30,5,6,4,14.5,5,10,3,16.2,0.863,Tinggi
Informatics Engineering,1,9119,1,163.0,150.8,1,0,1,1,0,18,5,9,4,10.5,5,11,2,10.5,0.8611,Tinggi
Agronomy,44,9003,1,140.0,120.0,1,0,1,1,0,22,6,13,5,13.0,6,13,2,11.5,0.8592,Tinggi
Informatics Engineering,1,9119,1,128.0,124.5,1,0,1,1,0,19,5,10,3,10.666666666666666,5,9,2,14.0,0.8591,Tinggi
Informatics Engineering,1,9119,1,133.0,121.8,1,0,1,1,0,18,5,9,4,12.0,5,10,2,11.0,0.8547,Tinggi
Tourism,17,9254,1,122.0,116.1,1,0,1,1,0,19,6,7,5,12.2,6,12,2,12.0,0.8523,Tinggi
Social Service,17,9238,1,118.0,110.7,1,0,1,0,0,18,6,15,2,10.333333333333334,6,13,3,13.333333333333334,0.851,Tinggi
Management,1,9147,1,116.0,124.8,1,0,1,1,0,20,5,9,2,14.333333333333334,5,10,2,12.5,0.8498,Tinggi
Social Service,1,9238,1,135.0,121.0,0,1,1,0,0,18,6,10,5,10.6,6,14,2,10.0,0.8495,Tinggi
Management (evening),43,9991,0,120.0,122.5,1,0,1,0,0,29,13,16,8,10.5,12,19,9,10.333333333333334,0.8484,Tinggi
Communication Design,43,9070,1,135.0,122.8,1,0,1,1,1,20,6,8,3,11.0,6,8,2,11.333333333333334,0.8467,Tinggi
Management,17,9147,1,116.0,112.2,1,0,1,0,0,20,5,8,3,11.333333333333334,5,12,2,10.666666666666666,0.8459,Tinggi
Management (evening),39,9991,0,120.0,119.9,0,0,1,0,0,50,5,9,2,10.5,5,7,3,11.0,0.845,Tinggi
Management (evening),39,9991,0,120.0,110.0,0,0,1,0,0,37,5,14,2,10.0,5,7,3,11.333333333333334,0.8441,Tinggi
Advertising and Marketing Management,1,9670,1,133.1,138.0,0,1,1,1,0,22,6,8,6,12.625,6,11,2,14.5,0.842,Tinggi
Advertising and Marketing Management,43,9670,1,117.0,113.2,0,0,1,1,0,21,5,11,2,10.0,5,10,3,10.333333333333334,0.84,Tinggi
Communication Design,1,9070,1,145.0,127.5,1,0,1,1,0,20,6,6,4,12.0,6,8,2,11.333333333333334,0.8394,Tinggi
Management,1,9147,1,125.0,122.2,1,0,1,0,0,18,5,9,1,11.0,5,9,2,12.5,0.8375,Tinggi
Communication Design,1,9070,1,125.0,132.0,0,0,0,0,0,18,6,10,5,12.2,6,11,4,10.833333333333334,0.8363,Tinggi
Tourism,17,9254,1,108.0,112.2,1,0,1,1,0,19,6,13,5,10.8,6,12,3,10.0,0.8352,Tinggi
Veterinary Nursing,44,9085,1,160.0,160.0,1,0,1,0,0,23,6,12,4,13.4,6,17,2,13.5,0.8343,Tinggi
Communication Design,16,9070,1,133.0,122.5,1,0,1,0,0,18,6,11,1,11.0,6,11,4,11.0,0.834,Tinggi
Basic Education,1,9853,1,163.0,146.6,1,1,1,0,0,18,6,9,5,13.6,6,10,4,11.75,0.8335,Tinggi
Veterinary Nursing,44,9085,1,130.0,130.0,1,0,1,0,0,22,6,12,5,12.8,6,19,2,11.5,0.8335,Tinggi
Nursing,39,9500,1,133.1,143.7,0,0,1,0,0,27,7,12,4,14.0,7,14,3,12.525,0.8332,Tinggi
Veterinary Nursing,1,9085,1,105.0,102.6,0,0,1,0,0,21,6,13,4,12.0,6,17,2,11.5,0.831,Tinggi
Veterinary Nursing,39,9085,1,130.0,110.0,0,0,1,0,1,25,6,13,3,11.666666666666666,6,14,2,11.333333333333334,0.8304,Tinggi
Informatics Engineering,43,9119,1,128.0,100.0,0,0,1,1,0,19,5,8,5,12.0,5,12,2,10.5,0.8272,Tinggi
Informatics Engineering,42,9119,1,136.0,117.5,0,0,1,1,0,19,5,6,4,11.8,5,7,2,11.5,0.8254,Tinggi
Informatics Engineering,1,9119,1,146.0,148.5,1,0,1,1,0,18,5,7,4,10.0,5,8,1,16.0,0.8239,Tinggi
Tourism,18,9254,1,118.0,123.3,1,0,1,1,0,26,6,10,4,10.0,6,11,3,12.0,0.8239,Tinggi
Tourism,17,9254,1,122.0,112.9,1,0,1,0,0,22,6,14,4,12.25,6,11,3,11.333333333333334,0.822,Tinggi
Veterinary Nursing,1,9085,1,101.0,98.9,1,0,1,0,0,21,6,12,4,12.5,6,13,2,12.666666666666666,0.8212,Tinggi
Management,43,9147,1,130.0,130.8,0,0,1,1,0,22,5,5,0,0.0,5,9,3,13.333333333333334,0.8205,Tinggi
Management,1,9147,1,117.0,120.2,1,0,1,0,0,20,5,9,2,10.0,5,10,2,11.0,0.819,Tinggi
Veterinary Nursing,44,9085,1,140.0,140.0,1,0,1,0,0,21,12,18,8,12.25,12,27,8,12.2,0.8186,Tinggi
Agronomy,44,9003,1,120.0,120.0,1,0,1,1,0,21,9,14,7,11.285714285714286,8,15,4,12.25,0.8151,Tinggi
Management (evening),1,9991,0,122.0,113.6,0,0,1,1,0,26,5,11,2,11.5,5,10,3,12.0,0.8142,Tinggi
Veterinary Nursing,17,9085,1,120.0,122.5,0,0,0,1,0,19,6,11,5,13.6,6,11,5,13.666666666666666,0.8136,Tinggi
Informatics Engineering,17,9119,1,142.0,127.3,0,0,1,1,0,18,5,10,3,11.0,5,6,3,11.0,0.8129,Tinggi
Management,17,9147,1,125.0,118.7,1,0,1,0,0,18,5,16,4,10.666666666666666,5,11,2,12.0,0.8127,Tinggi
Communication Design,43,9070,1,117.0,112.5,1,0,1,1,0,19,6,7,3,11.666666666666666,6,13,4,10.333333333333334,0.8109,Tinggi
Animation and Multimedia Design,1,171,1,133.1,117.0,0,1,1,1,0,19,0,0,0,0.0,0,0,0,0.0,0.8105,Tinggi
Informatics Engineering,17,9119,1,141.0,133.0,1,0,1,1,0,18,5,10,4,13.0,5,10,3,12.333333333333334,0.8104,Tinggi
Equinculture,1,9130,1,132.0,143.9,1,0,1,1,0,20,5,14,2,11.0,5,9,3,12.666666666666666,0.8101,Tinggi
Informatics Engineering,17,9119,1,138.0,123.3,1,1,1,1,0,18,5,9,4,12.5,5,11,5,11.285714285714286,0.8095,Tinggi
Journalism and Communication,1,9773,1,125.0,126.1,1,0,1,1,0,22,6,10,5,13.4,6,12,3,10.666666666666666,0.8079,Tinggi
Social Service,1,9238,1,135.0,121.0,0,0,1,0,0,21,6,11,5,11.2,6,15,1,10.0,0.8077,Tinggi
Tourism,17,9254,1,119.0,125.0,0,0,1,1,0,19,6,7,5,10.8,6,10,2,10.5,0.8076,Tinggi
Tourism,1,9254,1,123.0,117.8,0,0,1,1,0,19,6,10,4,12.75,6,12,2,13.0,0.8025,Tinggi
Basic Education,1,9853,1,121.0,120.0,1,0,1,0,0,18,6,10,3,12.0,6,8,4,10.25,0.8023,Tinggi
Communication Design,1,9070,1,124.0,132.1,1,0,1,0,0,19,6,10,2,10.5,6,6,3,11.0,0.8011,Tinggi
Informatics Engineering,1,9119,1,131.0,135.9,0,0,1,1,0,18,5,10,2,14.0,5,7,3,11.0,0.8007,Tinggi
Management,17,9147,1,147.0,142.8,1,1,0,0,1,19,5,5,5,12.8,5,5,4,12.0,0.7986,Tinggi
Informatics Engineering,17,9119,1,133.1,117.0,1,0,1,1,0,21,5,10,5,11.166666666666666,5,10,3,10.8,0.7958,Tinggi
Basic Education,5,9853,1,116.0,110.4,1,0,1,0,0,21,6,9,5,12.6,6,9,3,11.666666666666666,0.7953,Tinggi
Agronomy,39,9003,1,150.0,120.0,0,1,0,0,0,34,6,10,6,14.333333333333334,6,9,6,12.833333333333334,0.7946,Tinggi
Management,42,9147,1,139.0,112.3,1,0,1,0,0,19,5,8,2,11.5,5,10,3,10.857142857142858,0.7943,Tinggi
Veterinary Nursing,17,9085,1,138.0,126.8,1,0,1,0,0,18,5,12,2,11.5,5,12,3,11.8,0.7934,Tinggi
Journalism and Communication,1,9773,1,120.0,114.8,1,0,1,0,0,19,6,11,4,12.25,6,11,3,11.0,0.7921,Tinggi
Tourism,1,9254,1,133.1,125.0,0,0,1,1,0,21,6,10,5,11.333333333333334,6,14,2,11.5,0.7911,Tinggi
Basic Education,17,9853,1,138.0,124.7,1,0,1,0,0,18,6,11,3,12.333333333333334,6,10,5,10.833333333333334,0.7911,Tinggi
Veterinary Nursing,44,9085,1,140.0,140.0,1,0,1,0,0,21,6,16,5,12.666666666666666,6,15,2,13.5,0.7901,Tinggi
Equinculture,43,9130,1,120.0,120.0,0,1,1,0,0,21,5,9,5,13.2,5,7,2,12.5,0.7893,Tinggi
